File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms], ResultsConsistent, Results
DaG/gobra/dafny_book/chap01.vpr,0,865,4,0,859,869,869,true,success,boogieTime=724
DaG/gobra/dafny_book/chap03.vpr,0,1207,11,0,1196,1204,1223,true,success,boogieTime=891
DaG/gobra/dafny_book/chap04.vpr,0,1811,20,1,1790,1806,1839,true,success,boogieTime=1523
DaG/gobra/dafny_book/chap05.vpr,0,2581,36,1,2542,2571,2630,true,success,boogieTime=2014
DaG/gobra/dafny_book/chap06.vpr,0,3209,17,0,3185,3221,3223,true,success,boogieTime=2758
DaG/gobra/dafny_book/chap07.vpr,4,1521,7,0,1515,1517,1532,true,1700.11-application.precondition:assertion.false;406.11-postcondition.violated:assertion.false;417.10-application.precondition:assertion.false;419.9-application.precondition:assertion.false,boogieTime=1248
DaG/gobra/dafny_book/chap08.vpr,0,5006,23,0,4977,5008,5035,true,success,boogieTime=4155
DaG/gobra/dafny_book/chap10.vpr,8,3785,40,1,3745,3825,3825,false,1340.21-application.precondition:assertion.false;2088.31-application.precondition:assertion.false;2179.29-application.precondition:assertion.false;326.12-postcondition.violated:assertion.false;362.24-application.precondition:assertion.false;807.12-postcondition.violated:assertion.false;925.34-application.precondition:assertion.false;976.34-application.precondition:assertion.false,boogieTime=2931
DaV/viper/dafny_book_examples/Chapter_10/BraunTree.vpr,0,269,4,1,264,270,275,true,success,boogieTime=237
DaV/viper/dafny_book_examples/Chapter_10/examples-10.0.vpr,1,11,1,9,10,11,13,true,21.19-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.1.vpr,1,9,0,0,9,10,10,true,26.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.2.vpr,1,18,0,0,18,18,18,true,8.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.3.vpr,1,19,0,0,19,19,19,true,11.22-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.4.vpr,0,225,1,0,223,226,227,true,success,boogieTime=216
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.0.vpr,1,9,1,11,9,9,11,true,21.19-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.1.vpr,1,9,0,0,9,10,10,true,26.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.2.vpr,1,18,0,0,18,18,18,true,9.43-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.3.vpr,1,20,1,5,19,20,23,true,9.37-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.4.vpr,0,225,0,0,224,225,226,true,success,boogieTime=217
DaV/viper/dafny_book_examples/Chapter_11/examples-11.0.vpr,0,602,8,1,590,605,611,true,success,boogieTime=537
DaV/viper/dafny_book_examples/Chapter_11/examples-11.1.vpr,0,461,5,1,454,463,467,true,success,boogieTime=429
DaV/viper/dafny_book_examples/Chapter_11/examples-11.2.vpr,0,521,5,0,516,520,529,true,success,boogieTime=473
DaV/viper/dafny_book_examples/Chapter_11/examples-11.3.vpr,0,224,0,0,224,225,225,true,success,boogieTime=219
DaV/viper/dafny_book_examples/Chapter_11/examples-11.4.vpr,0,506,2,0,504,506,510,true,success,boogieTime=458
DaV/viper/dafny_book_examples/Chapter_11/examples-11.5.vpr,0,224,0,0,224,225,225,true,success,boogieTime=217
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.0.vpr,0,515,4,0,511,514,522,true,success,boogieTime=473
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.1.vpr,0,471,1,0,470,471,473,true,success,boogieTime=449
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.2.vpr,0,225,0,0,225,226,226,true,success,boogieTime=220
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.3.vpr,0,527,5,0,520,527,534,true,success,boogieTime=491
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.4.vpr,0,224,1,0,222,225,225,true,success,boogieTime=221
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.5.vpr,0,664,7,1,654,665,673,true,success,boogieTime=607
DaV/viper/dafny_book_examples/Chapter_12/examples-12.0.vpr,0,527,7,1,520,523,538,true,success,boogieTime=488
DaV/viper/dafny_book_examples/Chapter_12/examples-12.1.vpr,0,590,1,0,589,591,591,true,success,boogieTime=537
DaV/viper/dafny_book_examples/Chapter_12/examples-12.2.vpr,0,647,0,0,646,647,648,true,success,boogieTime=585
DaV/viper/dafny_book_examples/Chapter_12/examples-12.3.vpr,0,1016,5,0,1009,1018,1023,true,success,boogieTime=870
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.0.vpr,0,219,1,0,219,219,221,true,success,boogieTime=213
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.1.vpr,0,607,3,0,603,609,611,true,success,boogieTime=538
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.2.vpr,0,817,5,0,810,817,824,true,success,boogieTime=723
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.3.vpr,0,1008,5,0,1000,1012,1012,true,success,boogieTime=884
DaV/viper/dafny_book_examples/Chapter_6/examples-6.1.vpr,0,609,4,0,603,610,615,true,success,boogieTime=552
DaV/viper/dafny_book_examples/Chapter_6/examples-6.2.vpr,0,804,5,0,800,801,813,true,success,boogieTime=730
DaV/viper/dafny_book_examples/Chapter_6/examples-6.3.vpr,0,988,8,0,980,985,999,true,success,boogieTime=908
DaV/viper/dafny_book_examples/Chapter_6/examples-6.4.vpr,0,1171,16,1,1159,1161,1194,true,success,boogieTime=1046
DaV/viper/dafny_book_examples/Chapter_6/examples-6.5.vpr,0,1418,12,0,1405,1415,1435,true,success,boogieTime=1265
DaV/viper/dafny_book_examples/Chapter_6/examples-6.6.vpr,0,1920,10,0,1911,1915,1936,true,success,boogieTime=1731
DaV/viper/dafny_book_examples/Chapter_6/examples-6.7.vpr,0,2126,13,0,2108,2129,2141,true,success,boogieTime=1851
DaV/viper/dafny_book_examples/Chapter_6/examples-6.8.vpr,0,224,2,0,220,226,226,true,success,boogieTime=220
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.1.vpr,0,608,1,0,607,609,610,true,success,boogieTime=572
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.2.vpr,0,1117,2,0,1114,1117,1120,true,success,boogieTime=1021
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.3.vpr,0,1182,11,0,1172,1176,1199,true,success,boogieTime=1061
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.4.vpr,0,228,2,0,226,227,232,true,success,boogieTime=226
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.5.vpr,0,227,2,0,225,225,231,true,success,boogieTime=219
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.6.vpr,0,2209,11,0,2201,2201,2226,true,success,boogieTime=1978
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.7.vpr,0,2253,4,0,2249,2251,2259,true,success,boogieTime=1955
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.8.vpr,0,229,5,2,225,227,237,true,success,boogieTime=234
DaV/viper/dafny_book_examples/Chapter_6/well-founded_order_List.vpr,0,607,4,0,603,605,614,true,success,boogieTime=560
DaV/viper/dafny_book_examples/Chapter_7/examples-7.0.vpr,0,582,8,1,575,579,594,true,success,boogieTime=550
DaV/viper/dafny_book_examples/Chapter_7/examples-7.1.vpr,0,717,6,0,708,718,725,true,success,boogieTime=659
DaV/viper/dafny_book_examples/Chapter_7/examples-7.2.vpr,0,935,6,0,930,931,945,true,success,boogieTime=846
DaV/viper/dafny_book_examples/Chapter_7/examples-7.3.vpr,0,1039,2,0,1037,1038,1043,true,success,boogieTime=930
DaV/viper/dafny_book_examples/Chapter_7/examples-7.4.vpr,0,1432,3,0,1430,1431,1437,true,success,boogieTime=1257
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.0.vpr,0,638,6,0,631,637,647,true,success,boogieTime=572
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.1.vpr,0,958,0,0,958,958,958,true,success,boogieTime=857
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.2.vpr,0,1129,5,0,1121,1133,1134,true,success,boogieTime=1005
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.3.vpr,0,223,0,0,223,223,224,true,success,boogieTime=218
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.4.vpr,0,224,2,0,221,226,226,true,success,boogieTime=220
DaV/viper/dafny_book_examples/Chapter_7/well-founded_order_Unary.vpr,0,578,2,0,576,577,582,true,success,boogieTime=534
DaV/viper/dafny_book_examples/Chapter_8/examples-8.0.vpr,0,1353,6,0,1345,1353,1362,true,success,boogieTime=1224
