File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms], ResultsConsistent, Results,
DaG/gobra/dafny_book/chap01.vpr,0,278,17,6,262,270,303,true,success,QPs=0;SCcomps=0;methods=37;postBranches=39;proverWarnings=0
DaG/gobra/dafny_book/chap03.vpr,0,546,17,3,533,535,572,true,success,QPs=0;SCcomps=0;methods=43;postBranches=74;proverWarnings=0
DaG/gobra/dafny_book/chap04.vpr,0,657,29,4,618,663,690,true,success,QPs=0;SCcomps=0;methods=32;postBranches=52;proverWarnings=0
DaG/gobra/dafny_book/chap05.vpr,0,1104,22,1,1074,1110,1128,true,success,QPs=0;SCcomps=0;methods=60;postBranches=113;proverWarnings=0
DaG/gobra/dafny_book/chap06.vpr,0,929,15,1,913,925,951,true,success,QPs=0;SCcomps=0;methods=60;postBranches=94;proverWarnings=0
DaG/gobra/dafny_book/chap07.vpr,0,709,68,9,613,748,766,true,success,QPs=0;SCcomps=0;methods=40;postBranches=71;proverWarnings=0
DaG/gobra/dafny_book/chap08.vpr,0,1855,92,4,1740,1859,1967,true,success,QPs=0;SCcomps=0;methods=79;postBranches=151;proverWarnings=0
DaG/gobra/dafny_book/chap10.vpr,0,2034,14,0,2019,2032,2053,true,success,QPs=0;SCcomps=0;methods=37;postBranches=61;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_10/BraunTree.vpr,0,146,1,0,144,147,147,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_10/examples-10.0.vpr,1,9,0,0,9,10,10,true,21.19-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.1.vpr,1,8,0,0,8,8,9,true,26.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.2.vpr,1,18,0,0,18,18,18,true,8.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.3.vpr,1,19,0,0,18,19,20,true,11.22-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.4.vpr,0,107,2,1,105,108,110,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.0.vpr,1,9,0,0,9,9,9,true,21.19-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.1.vpr,1,9,0,0,9,9,9,true,26.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.2.vpr,1,17,0,0,17,18,18,true,9.43-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.3.vpr,1,19,0,0,19,19,20,true,9.37-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.4.vpr,0,104,2,1,102,106,106,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.0.vpr,0,194,4,2,189,194,201,true,success,QPs=0;SCcomps=0;methods=10;postBranches=10;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.1.vpr,0,134,2,1,131,134,138,true,success,QPs=0;SCcomps=0;methods=3;postBranches=3;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.2.vpr,0,152,5,3,146,153,159,true,success,QPs=0;SCcomps=0;methods=4;postBranches=4;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.3.vpr,0,108,1,0,106,109,110,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.4.vpr,0,163,3,1,158,164,167,true,success,QPs=0;SCcomps=0;methods=2;postBranches=2;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.5.vpr,0,104,1,0,102,105,106,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.0.vpr,0,162,3,1,157,164,165,true,success,QPs=0;SCcomps=0;methods=12;postBranches=13;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.1.vpr,0,142,1,0,140,143,144,true,success,QPs=0;SCcomps=0;methods=5;postBranches=5;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.2.vpr,0,105,0,0,104,105,106,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.3.vpr,0,174,1,0,173,174,177,true,success,QPs=0;SCcomps=0;methods=4;postBranches=4;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.4.vpr,0,106,0,0,106,106,106,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.5.vpr,0,245,0,0,245,245,246,true,success,QPs=0;SCcomps=0;methods=7;postBranches=14;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/examples-12.0.vpr,0,169,2,1,168,168,173,true,success,QPs=0;SCcomps=0;methods=2;postBranches=3;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/examples-12.1.vpr,0,211,7,3,204,207,222,true,success,QPs=0;SCcomps=0;methods=4;postBranches=5;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/examples-12.2.vpr,0,236,9,3,223,241,245,true,success,QPs=0;SCcomps=0;methods=6;postBranches=8;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/examples-12.3.vpr,0,425,4,0,420,425,432,true,success,QPs=0;SCcomps=0;methods=20;postBranches=27;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.0.vpr,0,106,0,0,105,106,107,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.1.vpr,0,244,11,4,236,237,261,true,success,QPs=0;SCcomps=0;methods=5;postBranches=6;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.2.vpr,0,347,7,2,338,348,357,true,success,QPs=0;SCcomps=0;methods=12;postBranches=17;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.3.vpr,0,438,23,5,409,438,467,true,success,QPs=0;SCcomps=0;methods=20;postBranches=27;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/examples-6.1.vpr,0,200,6,3,195,196,209,true,success,QPs=0;SCcomps=0;methods=5;postBranches=12;proverWarnings=0
